Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
白猫,白猫,白猫sunny，原名孙恒，中国知名漫画家，作品有《雏蜂》、《侍灵演武》、《蔚蓝战争》《末世渡鸦》、《天才J》。
HPCC,HPCC,HPCC，HighPerformanceComputingandCommunications（高性能计算与通信）的缩写。
费斯,费斯,
一默,一默,默者无言之意。诸佛菩萨或说或默，皆能显于妙理，故维摩经卷中三十二菩萨各说不二法门后，文殊师利问维摩 ‘何等是菩萨入不二法门’，时维摩默然无言。文殊叹道（大一四·五五一下）：‘善哉！善哉！乃至无有文字语言，是真入不二法门。’此即以无言遣言，正谏实相之意，故教内有‘维摩一默一声雷’之语。
皇窑,皇窑,皇窑，是景德镇佳洋陶瓷有限公司旗下陶瓷品牌，品牌创办人黄云鹏，品牌创立于2009年。其产品主要包括历代官窑瓷器、礼品瓷、日用瓷等。
SNS,SNS,SNS，专指社交网络服务，包括了社交软件和社交网站。也指社交现有已成熟普及的信息载体，如短信SMS服务。SNS的另一种常用解释：全称SocialNetworkingServices，即“社交网站”或“社交网”。SNS也指SocialNetworkSoftware，社交网络软件，是一个采用分布式技术，通俗地说是采用P2P（PeertoPeer）技术，构建的下一代基于个人的网络基础软件。
齐勒,罗恩·罗伯特·齐勒,罗恩·罗伯特·齐勒（德语：Ron-RobertZieler，1989年2月12日－），是德国足球运动员，司职守门员，曾效力于德甲的汉诺威96足球俱乐部。北京时间2016年6月3日，英超冠军莱斯特城足球俱乐部官方宣布，球队正式签下汉诺威主力门将齐勒，蓝狐直接支付了350万欧元的解约金，双方签约4年。 2016年7月，齐勒回归德甲，加盟了斯图加特足球俱乐部。 
洁莱雅,洁莱雅,江苏洁莱雅日化有限公司创建于80年代末，公司一贯坚持“做好品质，为您服务”的宗旨和产品、人品兼优，盈利、道义共存的经营原则，牢固树立“尽心追求完美”的理念，竭尽全力，奋力开拓，在创新和扩展的道路上，不断提高自身品味，使“洁莱雅”品牌誉满四海，让她以全新的理念跨入世界化妆品之林。
尚锦,尚锦,尚锦是一家徽菜馆，位于长治市。
罗浮宫陶瓷,罗浮宫陶瓷,“罗浮宫”是罗浮宫（国际）发展有限公司在中国大陆的注册公司罗浮宫尼凯（佛山）陶瓷有限公司麾下旗舰品牌。罗浮宫尼凯（佛山）陶瓷有限公司成立于2009年9月，是中国大陆境内唯一授权注册合法使用“LOUVRE罗浮宫”品牌标示的建陶品牌。
卫洗丽,卫洗丽,卫洗丽是由TOTO发明的智能马桶盖(在普通马桶上也能够安装) ，集便盖加热、温水洗净、暖风干燥、杀菌为一体。是微电脑控制、舒适卫生、人性化的现代产品。无论男女老少在方便之后，卫洗丽智能温水都可以按您的需求前后调节，或摆动着对臀部进行冲洗。如果是冬天，恒温座便盖令您任何时候坐上去都是暖暖的，便后还会吹出温暖的风将屁股烘干，可有效保持关键部位的清洁，大大减少妇科疾病和肛肠类疾病的产生机会。它会照顾到家庭的每个成员，对于痔疮男、小龄童、老人家都非常适用。关注日本和全球的酒店和较高端场所，频频出现TOTO卫洗丽，日本的国民品牌，对于中国新一代年轻人，使用卫洗丽也意味着一种时尚。卫洗丽的价格空间选择非常大，可以从2千多元到3万多元。不过3万多元的是一款智能全自动座便器，就是把卫洗丽和坐便器结合在一起的产品，除了卫洗丽的所有功能，还有全自动的一个功能:人一靠近，便盖会自动打开，人走了后自动冲洗、自动关闭。它还有一个遥控器，和卫洗丽一样，可以遥控便盖的开关。它还能自动判断节省冲水，男士小便是4L水，其它冲洗是6L水。在国际上，卫洗丽能用到10年以上，且无一例细菌感染投诉。
通仙,通仙,霍小天长篇玄幻小说。追求长生不老，羽化登仙，无论王侯将相，平民百姓，自古使然，然真正有几人成仙，无人目睹，多为道听途说，路野传说。
RCR,RCR,
亮点,亮点,亮点，拼音是liàngdiǎn，指比喻有光彩而引入注目的人或事物。也指有色或不透明的热塑料片材、薄膜或模制品上所含没有完全塑化的粒点，当其在对光观察对呈现为无色的透明斑点。
Roca,ROCA,ROCA（乐途/乐卡宝贝）是源自香港的母婴用品品牌。由深圳市美儿乐母婴用品有限公司在中国大陆区域全权独家代理和销售。ROCA产品涵盖奶瓶、奶嘴、水杯、婴儿汤匙、牙胶、奶粉格等哺喂系列用品。
迪特,迪特,“迪特”系杭州睿趣教育咨询有限公司旗下高端教育品牌，专业致力于儿童的启蒙教育，通过长期与美国、加拿大、德国、英国等国际知名院校、教育机构的合作交流，使得“迪特”从2010年品牌创立至今，就有了相当高的起点和社会认可度。
小奇猫,小奇猫,小奇猫出自一本漫画，甜甜私房猫是一部全彩色的猫猫漫画，连载于周刊morning上，こなみかなた作者的人气作品，现在单行本发售至第八卷，有累计销售100万部以上的出色成绩，其中喜欢猫的读者占多数。故事围绕小猫喵小奇在洋平家里的有趣生活，内容温馨惹笑。
泽熙,泽熙,《泽熙》是尚熙写的网络小说连载于起点中文网。
来威,来威漆,来威，1831年诞生于欧洲比利时斯哈尔贝克镇，由于品质优异，1835年欧洲大陆第一条商业铁路开通时，上面行驶的列车内外涂料选用的是来威漆。来威，现在是阿克苏诺贝尔公司旗下的重要战略品牌，在欧洲已行销180多年，被誉为涂料中的“劳斯莱斯”，连续多年保持全球销量前列。
和光堂,和光堂,和光堂─百年品牌，起源于1906年，迄今已有一百多年的历史。由小儿科教授弘田长开设的和光堂药房是公司前身。创立之初，公司即着手于婴幼儿保健和科学育儿指导方面的工作。和光堂品牌诚信宣言：永远的婴幼儿品质。全系列婴幼儿产品，包含奶粉、辅食及用品，坚持品质第一，提供最专业的照护，深受广大消费者的喜爱。
HIGE,hige,动漫作品《狼雨》中的四个主角之一。是第一只和狼牙结成同伴的狼。
mitu,MITU,美途（MITU·MysteryIndomitableThoughtfulnessUnique），是一家致力于中国文化艺术产业的网络平台，以推广优秀个人与机构搭建了垂直有效的“管道”，通过实名制体系，让会员之间合作/交流更为可靠。
翰鼎,翰鼎,
松野,松野,松野为日本的姓氏。如：日本配音演员松野太纪、轻小说作家松野秋鸣等。
K,k,《K》是由日本GoHands公司企划制作的原创电视动画作品，于2012年10月4日放送，共13话。 故事以架空世界的日本为背景，讲述了七个“王”之间的争执与异能者的战斗传奇。在电视动画最终话（2012年12月27日播出）上，官方发表了《K》续篇制作决定，并在见面会“K-Whoisthenext-”上确认续篇为剧场版动画《KMISSINGKINGS》。剧场版于2014年7月12日在日本公开上映。 在2014年10月18日于横滨国际平和会议场举办的“K-Inthisplaceagain-”现场活动上，发布了《K》动画二期的制作消息，新作《KRETURNOFKINGS》于2015年10月份开始播出。 
仙柏丽儿,仙柏丽儿,仙柏丽儿，1998年研发，美容、护肤、美发用品品牌。
顾得,顾得,顾得。环绕家的感觉而设计。标的设计是用顾得的“G”来设计成一个八角的形状。为四面八方的朋友围绕着“GUDE”顾得牵动着四面八方的朋友朝着一个方针，一个方向，一个理念，坚韧地奋斗。
蔚风,蔚风,蔚风，校园青春小说《忆年谨仅于此》中人物。 
亚细亚,亚洲,亚洲（字源古希腊语：Ασία；拉丁语：Asia），曾译作“亚细亚洲”和“亚西亚洲”，是七大洲中面积最大，人口最多的一个洲。其覆盖地球总面积的8.7%（或言总陆地面积的29.4%）。人口总数约为40亿，占世界总人口的约60.5%（2010年）。亚洲绝大部分地区位于北半球和东半球。亚洲与非洲的分界线为苏伊士运河。苏伊士运河以东为亚洲。亚洲与欧洲的分界线为乌拉尔山脉、乌拉尔河、里海、大高加索山脉、土耳其海峡和黑海。乌拉尔山脉以东及大高加索山脉、里海和黑海以南为亚洲。大陆东至白令海峡的杰日尼奥夫角（169°39′7″W，66°4′45″N），南至丹绒比亚（103°31′E，1°16′N），西至巴巴角（26°3′E，39°27′N），北至切柳斯金角（104°18′E，77°43′N），最高峰为珠穆朗玛峰。跨越经纬度十分广，东西时差达11～13小时。西部与欧洲相连，形成地球上最大的陆块欧亚大陆。亚洲是世界三大宗教佛教、伊斯兰教、基督教的发源地。
学霸,学霸,擅长学习，分数很高的学生。又是专指在期末测试或者重大考试中，考前进行突击学习的人群。学习刻苦，无时无刻不在学习，并且能在众人都考砸的情况下轻松高分的人。能够承受常人无法忍受的痛苦和压力。原意：指凭借势力把持、垄断教育界或学术界的人或者是指学校的霸主。亦称学阀，为中性词。
好久不见,好久不见,《好久不见》是香港流行男歌手陈奕迅的一首国语歌曲，由施立填词，陈小霞谱曲，陈奕迅演唱的一首歌曲，收录于专辑《认了吧》中，发行于2007年04月24日。这首歌也是电影《失恋33天》的插曲。 《好久不见》的粤语版是《不如不见》，收录于2006年11月23日发行的专辑《What'SGoingOn...?》中。
喜家家,喜家家,喜家家”品牌为北京喜家家商贸有限公司持有此商标图形包含:两张小孩的脸合在一起意为工作团队团结、和睦；头上散发光芒意为擅长思考和智慧；英文ideasforlife体现了“创意改变生活”的产品理念；
斐亚诺,斐亚诺,
苏适,苏适,苏适，当代著名书法家。祖籍山东省青州市，后移居北京。曾任中国书法家协会理事、北京市政协委员、北京市文联理事和北京市书法家协会秘书长，九三学会社北京市书画研究会常务副会长。现任北京市海外联谊会理事。九三学社成员。1996年被聘为北京市文史研究馆馆员。
黄金鱼,黄金鱼,《黄金鱼》是韩国MBC电视台于2010年5月播出的电视剧，由吴贤昌导演，赵恩贞编剧，李泰坤、赵伦熙、苏幼贞主演。该剧讲述两位主人公命运般的悲伤爱情，李泰英爱上和父亲再婚的女人的女儿韩智敏的故事。 
帕佳图,帕佳图,Lapagayo，品牌名。时尚手袋品牌。
EVA SOLO,eva solo,EvaSolo是100年悠久历史的丹麦设计品牌。EvaSolocreatesexclusiveDanish-designedfurnishingaccessoriesandkitchenwarecharacterisedbyaestheticappealfunctionalityandhighquality.Toolswhichareapleasuretolookatuseandown. EvaSolo产品独具一格，丹麦设计的家具配件和厨具颇具艺术美感，而且还集合了功能性和高品质的特点。EvaSolo丹麦著名设计品牌，拥有100年的悠久历史。EvaSolo公司成立于1913年，100年来，EvaSolo秉承着设计出富有艺术美感与功能性的高品质产品的设计理念，以期待我们的产品，无论从外观，实用性等各个方面，为您带来高品质享受。 北欧四国同处北极圈附近，冬天漫长，而且还有漫长的黑夜。由于气候特点，人们往往在家里交往，因此对"家"的概念比其他国家的人更加重视，对"家的气氛"比其他国家都研究得透彻。所以北欧从住宅、室内、家具、陈设以及家居用品的设计都浸透了人情味。EvaSolo就属纯粹、洗练、朴实的北欧现代设计，其基本精神是：讲求功能性，设计以人为本。
猛士,猛士,猛士是一辆国产ORV，是我国第一部三代高机动性军用越野车，它实现了部队装备的跨越式发展。对于中国汽车自主研发也有积极的促进作用。猛士的定型总共用了五年的时间，累计63台样车的试制，通过了115万公里的道路强化测试，并完成了热区、沙漠、高原、寒区、沿海环境适应性试验。猛士的定位为轻型4X4，总质量5吨，装置质量1.75吨，牵引质量2吨。搭载康明斯直四柴油增压引擎的车型国产率接近100%，是一款完全拥有自主知识产权的产品。目前，全球军用越野车已经迈入第三代，它所倡导的是高机动性，而其中由美国通用生产的Humvee具有标杆意义。Humvee，这是一款多用途高机动性四轮驱动车(HighMobilityMutlpurposcWheeledVehicle-HMMWV)，现在美军方昵称为Humvee，民用版本则称之为Hummer(悍马)。它尽最大可能符合现代战争的需求，不仅可以适应复杂的路况，还可以在运输人员、架设机枪、救护伤员、发射导弹方面具备相应的功能。包括日，韩，俄，法等国家等先后以Hunmvee为蓝本开发出相应的车型，为提高我军装备技术水平，打赢现代化战争，2002年我军决定研制这种最先进的车型。
加里奥,加里奥,正义巨像·加里奥是《英雄联盟》系列中的一个英雄。正义巨像缄默无言地立在德玛西亚的高墙上，黄铜表层的流光若隐若现。老人们讲述着遥远的故事，一个勇士试图保护乱作一团的民众的故事。大多数人质疑这些传说。但——正如被封印的闪电一般——正义巨像在严阵以待。并且在最需要他的时候，他就会再次伸展开他那攻无不克的肢体。 
ADDICT,addict,addict，英语四级词汇，考研必备词汇。n.有瘾的人；入迷的人。vt.使沉溺；使上瘾。 
晏维,晏维,晏维，出生于江西南昌，中国大陆女主持人、VLADY主持团员，毕业于湖南大学新闻专业 。2005年荣获湖南卫视金鹰之星《美丽中学生》冠军。2009年荣获长沙国际名车展车模亚军 。2010年9月19日，晏维在星姐总决赛中荣获冠军 ；同年开始在湖南卫视担任主持人。2011年起担任湖南娱乐频道《好女人》主持 。2012年晏维和马睿一起主持了《我是大赢家》这档节目 。2014年担任青海卫视《遥控星料理》主持人 。2015年担任《我是歌手》台湾盲人歌手萧煌奇的芒果经纪人 。
心花怒放,心花路放,《心花路放》是2014年9月30号上映的一部影片，该片由宁浩执导，由黄渤、徐峥等主演。 电影《心花路放》讲述了在生活中遭遇了情感危机的耿浩（黄渤饰），陷入难以自拔的痛苦之中，好基友郝义（徐峥饰）为了帮助他摆脱痛苦，带着耿浩开始了一段非常搞笑的疯狂的猎艳之旅 。影片上映后，首周票房超6亿，成为史上最快突破6亿票房的华语电影 。票房总计11.67亿，登2014年度国产电影榜首，并成为国产电影史继《泰囧》和《西游降魔》之后的第三名 。
澳华装饰,澳华装饰,武汉澳华装饰设计工程有限公司（以下简称澳华装饰）成立于1994年，是一家集装饰设计、集成家居、材料配送、工程施工、售后服务于一体的装饰公司。 
幸福鱼,幸福鱼,《幸福鱼》，作词李文奎，作曲李文奎，编曲薛云贻。
尚乐,尚乐,尚乐是河南信阳核工业恒达实业公司的随身暖品牌，并通过了国家商标局注册，“尚乐”随身暖已成为中国随身暖行业的领导品牌。
卓林,卓林,卓林是电视剧《美人无泪》中的人物。受赛琦雅迫害被迫出征，出征过程中伤残成为“熊人”，最终被皇太极派人乱箭射死。
果语,果语,果语 是于2010年02月14日成功注册的品牌 
良品生活,良品生活,良品生活是同富公司从香港引进的专门出品优良保温杯、保温壶、保温饭盒等相关产品。生活良品只是一般的基础性（化妆品）商品。
千羽,千羽,《千羽》是颜月写的网络小说连载于起点中文网。
金卫士,金卫士,金卫士（香港）控股有限公司，成立于2010年5月8日，法定股本2亿港币，是香港金谷丰垣国际（集团）投资有限公司与上海奥冠智能技术有限公司合资公司，主要在中国较富裕或资源丰富的地区投资、开发、经营金融安全和社区安全、教育安全管理等投资项目。
菡萏,菡萏,菡萏，荷花的别称。属莲科多年生水生草本植物。又称莲花，古称水芙蓉、菡萏、芙蕖。原产亚洲热带和温带地区。除中国外，日本、俄罗斯、印度、斯里兰卡、印度尼西亚、澳大利亚等国均有分布，荷花是中国十大名花之一，也是印度的国花，荷花是圣洁的代表，更是佛教神圣净洁的象征。双子叶植物纲山龙眼目莲科莲属荷花种
宝扬,宝扬,BYONE（宝扬）是宝扬集团国际控股股份有限公司旗下的品牌，BYONE名称的由来：“Beyond”意为超越。“One”一的意思。BYONE为两个单词的合体。意为：BeyondtheNo.1。超越第一，勇攀高峰，永无止境！代表一种不懈进取的精神。中文音译名为“宝扬”。
视觉空间,视觉空间,视觉空间是以四维空间为基础的空间学说。但与四维空间不同的是，它不仅强调了长，宽，高及时间这四个量之间的关系，还强调了视觉源点（观察者）的空间位置。它所表示的是视线中的空间，也就是说，当我们在构建空间模型时，注重的将不再是整个空间的排列，而是视觉源点与外界空间的相对关系。
champion,Champion,1919年，SimonFeinbloom和他的父亲一起，在美国纽约的罗切斯特正式成立了ChampionKnitWearCo.。如同所痴迷于竞技体育运动的人们对于胜利的渴望，所有人的心中都存在着一个关于冠军的梦，因此Champion从问世就吸引了所有运动爱好者的眼球。 
双清,双清,双清，也叫福建月琴、台湾月琴、八角琴、梅花琴，中国南方汉民族乐器，是福建闽派音乐的重要弹拨乐器。双清由古代的阮演变而来，保留旧式阮的特点。形制与京剧月琴相似，但是杆更长，用2到4根弦，以2弦最为普及。流行于旧时的闽地（今包括福建、台湾、潮汕和浙南地区）。在福州闽剧、福州伬艺、福州十番、漳州南词、漳州芗剧、漳州锦歌、泉州北管、泉州车鼓、南平南词、莆田十音八乐、莆仙戏、龙岩十番、闽西汉剧、浙南遂昌十番、等闽地各种民间音乐、戏曲中均有使用。台湾亦将此作为台湾民谣弹唱的主奏乐器。其音色清脆柔和，不亢不闷，有特殊的共鸣质感，颇为动听，极具福建地方特色。
凡雀,凡雀,洛克王国宠物，2012年购买神宠传说图书可获得。
UM,UM,密歇根大学（UniversityofMichigan，简称UMUMich）在美国密歇根州有三个分校。安娜堡分校（UniversityofMichiganAnnArbor）1817年建校，是美国历史最悠久的大学之一，在世界范围内享有盛誉。建校以来，在各学科领域中成就卓著，拥有巨大影响，被誉为“公立常春藤院校”，与伯克利加州大学（UCBerkeley）素有“公立大学典范”之称。
飞人,小超人帕门,小超人帕门（作品原名：パーマン，Parman），此漫画是为藤子·F·不二雄的作品，曾由1966年起连载2年及1983年再度连载3年，后来被数次改编成电视及电影动画。台湾最普遍的俗名称作〝超人小叮当〞，大然文化首次代理授权版漫画时又曾被译作〝超人小天使〞，直至2005年青文出版社藉著电视版数度播出之势，重新取得版权并同调使用〝小超人帕门〞作为译名；大陆则在1990年9月由科学普及出版社出版了该漫画，并译名为〝飞人〞。香港于1984年在亚洲电视本港台播放动画，而陈永信则在10年后转投无线电视；而台湾则是直至近年间透过有线频道引进影片才“正式”于电视上放映。
妃语,妃语,《妃语》是丝雨摇坠创作的网络小说，发表于17K小说网。
树德,树德,树德中学由国民党陆军上将孙震将军创办于1929年4月4日，以“忠、勇、勤”为校箴，以“树德树人”为办学宗旨而得名。1944年，学校被当时最权威的《大公报》评为“全国最好的四所私立中学之一”。新中国成立后更名为成都市第九中学，1989年恢复现名。学校目前是：首批国家级重点高中、四川省首批省级重点中学、成都市教育局直属三所高中之一、省级校风示范校、省级实验教学示范校、省级艺术教育特色学校、全国篮球高水平试点校……
金灶,金灶,金灶呈长方形，金片打制、焊接而成。一端有灶门，呈壶门形，下带承灰盘，炉膛中空，另一端顶有烟囱。
阿尔塔夏,阿尔塔夏,阿尔塔夏，是古代亚美尼亚王国的国王。在位时间为公元前190~前159年。
自然之风,自然之风,自然之风是一个日用品家居品牌。总部设在浙江德清。主要销售桐木保鲜米箱、足浴桶、野餐桌、小木凳、花架等木质日用家居品。
柒夏,柒夏,《柒夏》是艺伊笙创作的网络小说，发表于晋江文学网。
瓷刻,瓷刻,瓷刻：在上釉烧成的素色瓷器上，用钨钢刀或金钢石刀搂刻书、画的一种工艺品。制作过程是：先用刀尖刻出点线，再涂墨上蜡，即在瓷面上出现山水、花鸟等画面或各种书体的字迹，既保持了传统的书、画风格，又发挥了晶莹光洁的瓷面特色，收到相得益彰的效果，且经久不泯。
妮可,妮可·罗宾,妮可·罗宾。日本漫画《海贼王》及其衍生作品中的角色。草帽一伙的考古学家，出生在西海的考古学之岛“奥哈拉”，年仅8岁就被悬赏千万的奥哈拉幸存者。是拥有“花花果实”的恶魔果实能力者，能让身体的任何部位像开花一样绽放在视线范围内的任何有形体的事物上并作出攻击或其他用途。目标是找到真正的历史正文，绝不饶恕践踏历史文物的人。
SOLUX,SoLux,SoLux是一种已经取得专利的光源，发明于2003年。 不同于白炽灯、日光灯，它可以发出明亮柔和的光线，使被照物更能能反应本身的颜色。它的造价比一般的LED光源更低，并且不含汞，很环保。这种灯主要用于家庭、办公室、博物馆、画廊、摄影工作室、医院、美发沙龙。
北极星,北极星,北极星指的是最靠近北天极的一颗星，所以北极星不是一直不变的，现阶段所指是勾陈一。距地球约434光年，是夜空中能看到的亮度和位置较稳定的恒星。北极星的首创者是燧人弇兹氏，故又称紫宫、紫微垣。紫是玄的代称，紫宫也就是玄宫，宫中女主为阴德星，是为弇兹圣母九天玄女。约在距今一万五千年至一万三千年时，北极星因弇兹氏织女而命名为织女星，源于古代汉族人民对远古星辰的自然崇拜。
Hamilton Beach,Hamilton Beach,HamiltonBeach（汉美驰）是来自美国的西式厨房小家电品牌，已有超过100年的悠久历史。HamiltonBeach（汉美驰）拥有456项专利，在咖啡机、搅拌机、烤箱、慢炖锅、华夫炉、多士炉、电熨斗、挂烫机产品领域一直处于世界领先水平。至今仍保持着美洲最佳品质和安全公司的记录。HamiltonBeach（汉美驰）从上世纪80年代后期就开始把目光转向中国，并经过严格的程序和标准选择了中国区的合作伙伴，开始向中国转移生产，2000开始正式转移。2007年全面停止自己在美国的生产。至此，HamiltonBeach全面完成了向中国转移的战略。
青柚,青柚,《青柚》是恪清扬创作的网络小说，发表于晋江文学网。
星期三,星期三,星期三，又称礼拜三或周三。是指一周中星期二之后、星期四之前的那一天。星期三是一周的第三天，星期三的拉丁语名字是diesMercurii，即水星日或墨邱利日；法语是mercredi，西班牙语是miércoles，他加禄语是Miyerkules，均来源于拉丁语；英语是Wednesday，来源于日尔曼主神Woden，即大神奥丁（Odin）。俄语是среда，意思是“第三天”。在古代中国，和现在的日本、韩国、朝鲜，一星期以“七曜”来分别命名，星期三叫水曜yào日。在中国民间口语称礼拜三，在台湾话也简称拜三。
SY,SY,SY是一个缩写，有多种含义。一是squareyard平方码。二是SteamYacht蒸汽机快艇SyrianArabRepublic，叙利亚。
荷马史诗,荷马史诗,《荷马史诗》相传是由古希腊盲诗人荷马创作的两部长篇史诗——《伊利亚特》和《奥德赛》的统称，是他根据民间流传的短歌综合编写而成。荷马史诗两部史诗都分成24卷。《荷马史诗》以扬抑格六音步写成，集古希腊口述文学之大成，是古希腊最伟大的作品，也是西方文学中最伟大的作品。西方学者将其作为史料去研究公元前11世纪到公元前9世纪的社会和迈锡尼文明。《荷马史诗》具有文学艺术上的重要价值，它在历史、地理、考古学和民俗学方面也提供给后世很多值得研究的东西。
润色,润色,润色：rùnsè，汉语词汇。释义：1.修饰文字，使有文采；2.使增加光彩；3.湿润；4.装饰点缀；5.粉饰；6.犹加工，使更完美。
沙尔克,沙尔克04足球俱乐部,盖尔森基兴-沙尔克04足球俱乐部（德文：Futball-ClubGelsenkirchen-Schalke04，简称：FCSchalke04），位于德国西部北莱茵-威斯特法伦州盖尔森基兴市沙尔克地区，是德国和欧洲足坛的传统劲旅。球队成立于1904年5月4日，因为地处鲁尔工业区（鲁尔区）的盖尔森基兴曾是欧洲采煤中心，所以球队绰号“煤矿工人（矿工）”，此外又被称为“皇室蓝”。主场为拥有55000座位并曾创造129分贝呐喊声浪的傲赴沙尔克球场，现冠名为“费尔廷斯竞技场”。现在德国甲级足球联赛参赛。
咪咕,咪咕,
二月花,二月花,歌手：邹妙琦/80年代词曲&和声：谭建建melody&手鼓：林岳轩语言：普通话、英语发行时间：2011年7月15日专辑：青春驿站
小松树,小松树,小松树原是电影《雷锋》里的插曲，将小松树和儿童进行类比，小松树需要阳光雨露的滋养才能长大，毛泽东思想哺育们，快快长大。歌曲具有鲜明的时代特点。
NCA,NCA,NipponCargoAirlines.Co.Ltd.（NCA）航空公司名称，日本货运航空公司，日本货物航空在1978年9月21日开始营运，现时网络已覆盖全球三大洲不少主要城市。最初，日本货运航空是日本邮船株式会社和全日空航空公司联合营运，所以日本货运航空的飞机涂装和全日空十分相似。到了2005年7月，全日空把日本货运航空股份全部售予日本邮船株式会社。同时，日本货运航空的涂装也开始统一起来。
萨巴依,萨巴依,萨巴依，是维吾尔、乌孜别克等族打击乐器。流行于新疆维吾尔自治区。常用于歌舞伴奏。它既是重要的节奏乐器，又是男舞者的道具。在民间，萨巴依多数为演唱《麦昔列普》伴奏，增添热烈气氛。1616-1911出自清代。长57.8cm中国历史博物馆藏黑色羊角制作，上置铁环，现代则用硬木制作。演奏时，右手执其下端，上下、前后摇动或碰击左手、双肩等部位，使其发出声响。用于维吾尔族歌舞表演。
春色撩人,春色撩人,成语之一，撩：撩拨，挑逗、招惹。意思是春天的景色引起人们的兴致。
大藏家,大藏家,《大藏家》栏目是由中共广州市委宣传部、广东省收藏家协会、广州市广播电视台联合打造的大型纪实栏目，该栏目立足广州，联动全省、辐射全国，堪称一部珍贵的收藏家寻宝、鉴宝史。栏目组走访了在全国藏界享有盛誉的50位广东收藏家，揭开了他们奋斗、寻宝的传奇人生故事，节目中涉及古画、青铜、陶瓷、玉石、钱币、紫砂、...
Weland,Weland,Weland是一款应用软件，适用于PC平台，软件大小为222KB。
燕王,燕王,燕王，中国封建社会著名王爵之一。历史上第一位春秋战国时期的燕国燕王是燕易王，历7世，为秦统一。此后多有分封及自立，最著名的如刘守光、罗艺、耶律洪基、慕容皝、慕容儁、真金、朱棣等。自从汉代开始，几乎历朝历代的正统王朝都册封有燕王，这类燕王与割据势力的燕王有着一定的本质区别。除开汉代和明代册封的王爵有实质性封国外，其余朝代册封的燕王多重号重位，而并未形成自行统治或影响历史的藩镇王国。从站在“燕王”称呼本真寓意的立场出发，此类燕王实质上与“燕王”的原始含义地位大有不同，且影响力较弱。此处重点介绍较为著名的燕王，其余燕王一一列举。
铭居,铭居,《铭居》是2011年福建科技出版社出版的图书，由香港视界国际出版有限公司编写。本书运用精美的图片收录了三十八个家居空间装修案例。
TCAM,TCAM,TCAM(ternarycontentaddressablememory)是一种三态内容寻址存储器，主要用于快速查找ACL、路由等表项。
偏偏喜欢你,偏偏喜欢你,《偏偏喜欢你》由浙江梦幻星生园影视文化有限公司出品的年代热血励志剧，该剧由吴锦源执导，桐华策划 钱晶晶编剧。 由陈乔恩、贾乃亮、黄宗泽领衔主演、郑爽特别出演 。该剧主要讲述了女主角“钱宝宝”阴差阳错进入军校成为一群热血男儿的女教官并卷入到一场爱情纠葛及身份危机的种种考验和难关的经历。该剧于2015年6月16日晚20:00登陆湖南卫视金鹰独播剧场全国首播。7月1日晚19:35登陆东南卫视东南剧苑1.5轮跟播。2015年CETV二轮播出，2016年2月8日湖北卫视三轮播出。
吉喜,吉喜,吉喜是汉语词语，拼音jíxǐ，意思是吉祥喜庆，亦指吉祥喜庆之事。
梦想岛,梦想岛,《梦想岛》是一款Q版角色扮演类网游，是天盟数码有限公司开发并运营的首款横版休闲游戏。游戏采用即时战斗，使用横版操作模式。采用3D引擎渲染，画面风格清新。卡通的人物造型，从各种装备到人物的发型都可以通过换装系统改变。故事发生在一个梦境般的岛屿上，有各种特色的游戏场景。
明爱,明爱,成立于1953年7月，为天主教香港教区辖下慈善团体，是国际明爱（CaritasInternationalis）一百五十四个成员组织之一。
FC,FC,FC是LINUX命令用途是处理命令历史列表，fc命令显示了历史命令文件内容或调用一个编辑器去修改并重新执行以前在shell中输入的命令。
小尼宅配,小尼宅配,小尼宅配隶属于北京黎明文仪家具有限公司，位于北京市通州区国家环保产业园区，占地150000平米，注册资金10100万人民币，拥有员工1800多人。公司引进了代表国际先进水平的木工机械设备，有德国HOMAG双端封边机、意大利EB120电子开料锯、德国HPP11/38电子开料锯、意大利CNC加工中心、意大利CEFCA-UV辊涂自动油漆生产线、意大利CEFCA全自动封闭喷漆生产线、芬兰进口中央吸尘设备等。
玄鱼,玄鱼,玄鱼是古代中国传说中的神鱼。为鲧所化。其说始见于晋。晋·王嘉《拾遗记·夏禹》：“尧命夏鲧治水，九载无绩。
anya,Anya,ANYA（韩雅），来自韩国的珠宝级护肤品。提取济州岛独特纯净的环境中形成的天然成分，以自我净化的自然生命力解决各种肌肤烦恼。尤以“蜗牛系列”和“明星BB霜系列”产品引领韩系护肤潮流，深受韩国及日本、新加坡、马来西亚等国家和地区消费者喜爱。韩雅化妆品长期与韩国著名的GENICOS化妆品中央研究院、春川市JADE研究所、济州岛生态科技园等单位建立了长期紧密的合作关系，共同开发专利天然护肤产品。
