Hodo,HODO,《HODO》是一款Android平台的应用。
千堆雪,千堆雪,《千堆雪》是何晟铭演唱的一首歌曲，是电视剧《藏心术》的片尾曲。
希帝,希帝,希帝Canard-Duchêne，来自法国的著名香槟品牌。创立于1868年，19世纪即闻名于天下，自19世纪以来，头戴皇冠的双头鹰这一沙皇象征也同时成为了希帝香槟的符号。近三十年来，希帝香槟在法国市场上占据了无可替代的位置，成为法国消费者眼中最熟悉、最喜爱的香槟品牌之一。
欣缘木子,欣缘木子,欣缘木子服饰成立于2001年，是一家集设计 、生产 、销售 于一体的女装公司。总部驻在广东省广州市番禺区，在浓厚贸易和强烈竞争意识的鞭策下，它明确了以市场为向导，以效益为中心，以创意设计为重点，以人性化治理为基础的经营理念，使其在整个电子商务 服装行业中脱颖而出。在品牌战略扩张，壮大资本的过程中，它积累了丰硕的经验，形成了自己独树一帜的风格。 
自由探戈,自由探戈,比利时导演弗德里克·方腾爱情三部曲（《情事》、《吉尔的妻子》）的收尾篇，羞涩敏感的狱警学习探戈聊以解闷，风情万种的新舞伴爱丽斯突然闯进他的生活。正当爱情栖息在心头，狱警却发现爱丽斯和他看管的两个囚犯之间有着剪不断理还乱的情感牵扯。这是一部谦逊而浪漫的黑色喜剧，如同深浅顿挫的探戈舞步一般，电影影调在现实之冷静和激情之热烈间跌宕起伏，影片曾获得2012年威尼斯国际电影节地平线单元评审团特别奖和华沙电影节最佳影片。
那蓝,那蓝,那蓝，电视剧《创业时代》女主角，由杨颖（Angelababy）饰演。 那蓝在剧中是投资集团分析师，都市白领女性的代表，一直是郭鑫年奔赴在创业大军第一线四处奔波寻求机会时的指路明灯。
J.Lindeberg,J.LINDEBERG,J.LINDEBERG来自瑞典的品牌是一家集设计、生产、销售于一体的高级成衣、时装公司.拥有严格的质量保证体系以及完善的售后服务。
OKO,Oko,OKO是浙江亨达光学高端光学镜架品牌之一，旗下还拥有高端游戏眼镜及老花镜，亨达光学成立于1981年，中法合资企业，从一开始就发挥出了合资企业的设计和生产优势，为战略发展需求，在2001年OKO眼镜诞生了，开始了自主品牌发展路线，2002年授权香港公司的海外销售权，第一批投放在德国市场的OKO眼镜，OKO眼镜在欧洲的高端市场都保持着权威地位。
M&M'S,M&M's,M&M's是美国的一种巧克力豆品牌。2004年，M&M's被评为美国最受喜爱的广告标志。M&M's的广告语“只溶在口，不溶在手”也被广告周刊评为2004全美第一广告名句。
雅薇莎,雅薇莎,雅薇莎（Ravissant）是雅莎（香港）美容化妆品有限公司旗下两大品牌之一。
文梅森,文梅森,文梅森（Mason），2007年3月21日出生，韩国童星，是个混血儿，妈妈是韩国人，爸爸是加拿大人，他的中文名是“文梅森”。是张根硕2007年拍摄的电影《天才宝贝》中的小搭档，灵动的大眼睛和异常可爱的笑容，让他赢得了不输于张根硕的人气。2016年，主演合家欢喜剧电影《非常父子档》。 
Godier,Godier,Godier，LED手表品牌之王，即高的尔。GODIER集团开始是广州godier电子有限公司，来自香港。始建于20世纪90年代，自公司成立以来，始终保持一步快速发展的势头，从一个单一代理和集成电路设计，步骤，提供研究和开发，设计，生产，售后的服务。
佐享,佐享,佐享也称配享，是陪同受祭祀的意思。
三枪,三枪拍案惊奇,《三枪拍案惊奇》是2009年张艺谋执导的一部喜剧电影，根据1985年科恩兄弟执导的电影《血迷宫》改编而成 。孙红雷、小沈阳、闫妮等联合主演。该片将喜剧和惊悚悬疑两种截然不同的风格进行混搭和融合，创造出一种新风格 ，于2009年12月10日在中国内地上映 。该片讲述了，为人阴险吝啬的面馆老板王五麻子，发现了妻子与伙计李四有了私情。老板与张三密谋买凶杀人，由此引发一场令人啼笑皆非的血案 。
韩路,韩路,韩路，现任北京锋巢信息技术有限公司联合创始人 ，北京斯帕克科技有限公司创始人 ，前汽车之家媒体业务高级总监 。2015年创办北京斯帕克科技有限公司旗下的5X兴趣社区，社区中主打各类男人的兴趣爱好，为各路发烧友提供了一处可以轻松秀出自己生活的平台。 
西子映香,西子映香,西子映香是杭州尚闲派服饰有限公司自成立起创建的丝巾行业品牌。公司主营丝巾围饰、手袋洋伞、高档真丝家居服等；一经面市，便凭借其独特的品牌调性捕获了无数爱美女性的心。
炉果,炉果,炉果，是一种东北点心，主要原料是小苏打，鸡蛋，面粉。
极迹,极迹,《极迹》是连载于起点中文网的网络小说，作者是安夏染。
哇咔,哇咔,目前内衣行业品牌繁多，竞争激烈，经过多年发展，高、中、低档市场空间，各有其领军品牌，纷纷固守山河，开疆拓土，市场空间已近切割完毕，然而这种市场饱和的表象背后其实还存在着一片巨大的蓝海，那就是“快时尚内衣”！ZARA、H&M、优衣库等世界知名快时尚品牌定位于普通人可以轻松消费的价格，通过对时尚的快速反应，创造了一个个令人称奇的品牌神话。
艾舒客,艾舒客,艾舒客是一款内衣，以传播天然、舒适、美体为基准修造女性完美身形。
TBG,TBG,TBG是日本乐队TheBrilliantGreen的缩写，Thebrilliantgreen是由贝斯手奥田俊作、主唱川濑智子Tommy和吉他手松井亮组成的3人乐队。在中国TheBrilliantGreen常被称为“绿乐团”。
凌克,凌克,凌克，1959年生，华中科技大学学士，浙江大学管理工程硕士，高级经济师。金地集团董事长和主要创始人，深圳市房地产业协会理事长。先后主持开发了金地花园、金地海景花园、金地翠园、金海湾花园等畅销楼盘。
相思鸟,相思鸟,相思鸟（Silver-earedMesia学名：Leiothrix）别名红嘴玉、红嘴绿观音、恋鸟，在西方叫“乃丁格”（情鸟）。隶属鹟科、画眉亚科、相思鸟属，栖息于平原及海拔1000米的小丘，活动于常绿阔叶林、灌丛和竹丛间。相思鸟属有银耳相思鸟和红嘴相思鸟2种，中国均有分布，留居在长江流域以及江南广大地区，两种外形相似。红嘴相思鸟羽衣华丽、动作活泼、姿态优美、鸣声悦耳，颇受人们喜爱。但其鸣啭与其它画眉亚科歌鸟相比，显得单调，也不善模仿，所以养鸟者多重其羽色。
金狐狸,金狐狸,金狐狸FOXER品牌文化深厚，源远流长，源于17世纪北欧地带生活的一种珍奇动物“狐狸犬”。18世纪末，“狐狸犬”濒临灭绝，意大利人为了纪念这种可爱的小动物，突发奇想，用象牙手镯装饰狐狸犬，当做饰品以供人们观赏，为凸显其尊贵，特取了一个响亮动听的名字“金狐狸”。随后，金狐狸饰品店风靡一时，进驻普通百姓的家庭。19世纪初，皮匠世界威廉姆斯·彼得无意间邂逅金狐狸饰品店，潜心钻研金狐狸饰品的设计理念与制作工艺，并萌发了把“金狐狸”注册品牌商标，进军皮具行业的念头。随后，酝酿已久的意大利狐狸集团有限公司正式成立，并成功注册意大利“金狐狸FOXER”品牌商标，主营男女箱包、皮带、票夹等系列皮具产品，标志着“金狐狸FOXER”这一国际品牌正式诞生。2011年，意大利狐狸集团有限公司正式授权广州泽楷皮具有限公司为其在中国地区唯一合法代理，并将“金狐狸FOXER”品牌商标成功转让，授权生产与销售“金狐狸FOXER”及品牌LOGO在内的系列皮具品牌。
MARNI,Marni,Marni是由一个设计师ConsueloCastiglioni女士在1994年创立的女装与配饰品牌，纯粹的奢华感是Marni所致力打造的风格。
风姿歌,风姿歌,悦海服装有限公司创建于1998年，经过我们的不断努力与创新，公司已发展成为一家集产品开发、设计、生产、销售为一体的服装企业。公司地处经济发达、交通方便的广东省增城市新塘镇。本公司以时尚绣花女装牛仔裤为主，梭织为辅，其牛仔系列产品以独特的设计风格，精细的制作工艺，别树一格的洗水，畅销世界各地，赢得了国内外市场的美誉。“风姿歌”是本公司主打品牌，其绣花、手绘、订珠牛仔裤非常具有中华民族特色。产品风格浪漫、时尚、个性十足。公司本着务实、创新、人性化管理的理念，以产品质量为基础，诚信为本。创造一个女性民族色彩的牛仔世界
AVIREX,Avirex,Avirex是由创始人杰夫·克莱曼于1975年创立的美国军用服装品牌。
OTO,O2O,O2O即OnlineToOffline（在线离线/线上到线下），是指将线下的商务机会与互联网结合，让互联网成为线下交易的平台，这个概念最早来源于美国。O2O的概念非常广泛，既可涉及到线上，又可涉及到线下可以通称为O2O。主流商业管理课程均对O2O这种新型的商业模式有所介绍及关注。2013年O2O进入高速发展阶段，开始了本地化及移动设备的整合和完善，于是O2O商业模式横空出世，成为O2O模式的本地化分支。
索玛格,索玛格,索玛格（SOMAGER）是香港索玛格国际控股集团有限公司产品品牌，2011年授权广州索玛格信息科技有限公司在中国大陆运营，国际知名商务箱包品牌。SOMAGER（索玛格）品牌的创立，时尚理念源自于意大利浪漫的艺术之都佛罗伦萨(Florence)，汲取它最前沿最时尚的精华。SOMAGER（索玛格）专业从事商务休闲型皮具，时尚、品味、随性、优雅是SOMAGER（索玛格）多年来矢志不渝的追求。索玛格---活出男仕风范。
牧心,牧心,牧，即治；牧心，苦心精心经营着一种思维、思想抑或一种心情。孔子曰：“得人心者得天下。”《孙子兵法》亦云：“不战而屈人之兵，善之善者也。”是谓攻心为上，攻城为下。牧者，因势而导也，能牧心者，方能牧天下。牧心的境界是一种为人处事的哲学，是人生态度的外延。
火棉,火棉,一种白色的纤维状物质，物理性质与棉花基本相同；它的爆炸威力比黑火药大2～3倍，主要用作工业炸药和火药，例如制爆胶、抛射药（柯达、巴里斯泰火药等）、推进剂。
DeskMate,deskmate,deskmate读音是英【desk'meɪt】，语义是同桌；同坐一张课桌的学生。
因内希,因内希,因内希（为英文INNERSY的音译），是一个近几年开始风靡国内外的内衣品牌。因内希所开发的产品均结合了欧美设计风格和中国文化元素，因内希每款新产品的面世，都在国内外掀起一股抢购热潮。
裕帛,裕帛,
UNDER ARMOUR,Under Armour,UnderArmour，指的是美国体育运动装备品牌。UnderArmour（纽约证交所代号UA）的总部在巴尔的摩，马里兰州，该公司主要生产体育装备。UA主要生产穿在运动队服里面的紧身内衣（比如穿在篮球服和棒球服下）或者垫肩（比如美式足球或者曲棍球的肩膀垫），但除此之外UA还生产卫衣，普通Tee，长运动裤等等。UnderArmour带领了生产紧身，以吸汗涤纶纱线（moisture-wicking）为材料的体育装备的潮流。随后，Nike（dri-fitpro系列）以及Reebok（NFL装备系列）便纷纷效仿。在2006年6月，UnderArmour发行了一个以“Click-Clack”为口号的足球夹板品牌。
BANANA BABY,BANANA BABY,Bananababy是韩国Bananababy旆的服饰品牌，该品牌女装以轻松，时尚，典雅，浪漫，性感为主创作手法，面料主要源于韩国，香港，台湾等国家地区。BananaBaby品牌精致，优雅，独具匠心的设计紧贴国际时装潮流，以充满惊喜的色彩组合，针对东方女性的体形特点，成就其向往柔美而不娇媚，成熟贵气而不失时尚动感的个性魅力。
AUM,阿提查·春那侬,阿提查·春那侬（Aum），1981年2月20日出生于泰国曼谷，泰国男演员。 1997年通过选秀进入演艺圈，2006年凭借电视剧《征途》荣获第21届TVGoldAwards最佳男主角 ，2008年主演的电视剧《爱的被告》被引进中国， 2011年主演的《溯爱》获东京国际电视剧节最佳外国电视剧奖， 2012年凭借电视剧《武士决战》获得第27届TVGoldAwards最佳男主角。 
大手掌,大手掌,《大手掌》是送离34创作的网络小说，发表于起点网。
水云间,梅花三弄之水云间,《水云间》是琼瑶名著《梅花三弄》系列之三，根据琼瑶《六个梦》系列中第四个梦《生命的鞭》改编，由马景涛、陈德容、陈红、罗刚等主演的电视剧。影片以男主人公梅若鸿（马景涛饰）所住之地水云间为背景，讲述了梅若鸿和杜芊芊（陈德容饰）相遇、相爱，经历种种悲欢离合最后幸福的走到了一起，两人终于执手偕老的故事。
秋売,秋売,秋売（QIUMAI)，杭州秋壳服饰有限公司旗下品牌，创立于2010年，是一家集产品研发设计、品牌运营、生产销售为一体的现代化品牌服装企业。以“油画中的少女”为定位，主要面向25-35的独立品味女性，打造自然、舒适、唯美的产品风格。
ELIZABETH,伊丽莎白,伊丽莎白（英语：Elizabeth）源于希伯来语的基督教女子教名。有很多著名的女士以此为名。例如：英格兰国王亨利七世的王后；英格兰女王伊丽莎白一世和英国女王伊丽莎白二世；昵称为茜茜公主的奥地利与匈牙利王后；还有美国女演员、英国女演员、模特儿、电影制作人与设计师。伊丽莎白也是地名，例如澳大利亚、南非和美国都有伊丽莎白市或镇。也有文学作品和电影及游戏人物以此为名。甚至有伊丽莎白甜瓜和伊丽莎白咖啡。
六月玫瑰,六月玫瑰,“六月玫瑰”是广东宏杰内衣实业有限公司旗下子品牌，公司创办于2003年，位于中国内衣名镇谷饶，地处风景秀丽的粤东地区--潮阳市谷饶茂广工业区。公司专业从事女士内衣面料开发，设计，制造，销售于一体的现代化企业。公司一贯实行专业化，标准化，数据化的科学管理，通过ISO国际质量体系认证。公司倾力打造“六月玫瑰”品牌，“六月玫瑰”产品系列线丰富，涵盖了文胸，塑身内衣，塑裤，无缝美体等几大系列。时尚高雅的产品，完美舒适的上身效果，“六月玫瑰”将是众多女性享受生活的首选品牌之一。
文科生,文科生,文科生，相对于理科生而言，它指因喜爱或擅长社会科学而学习文科的学生，切记不可为了学文而学文。文科生学习的科目以语文、数学、英语、政治、历史、地理为主，以物理、化学、生物为辅。
柏朗亚高,柏朗亚高,柏朗亚高PALONGACO男装是意大利注册品牌，每年其柏朗亚高产品均有数位设计师提供最佳创意，不断创新，其柏朗亚高经营理念以掌握流行讯息配合区域性需求，采用不同的进口素材造就出每一件精品。
迪图,迪图,迪图，是一名民主刚果职业足球运动员，司职前卫。现效力于葡萄牙足球超级联赛的阿鲁卡足球俱乐部。
约兰德,约兰德,约兰德是一个富有的埃及犹太家庭中的独生女，孩提时她周围就奴仆成群，华服美食。在东方豪华奢侈的环境中长大后，被送到巴黎深造，这是当时富家子弟的时尚。在那里，由于环境的影响，她对自己出身于犹太民族和自己的祖先毫无兴趣，她的思想已经完全欧化了。不过，约兰德是个孝顺的孩子，非常尊敬年迈的父母，当他们召她回家，说有要事相商时，她还是服从了。1941年，刚满20岁的约兰德，千里迢迢回到家中，经父母百般说服后，嫁给了一个她既不了解、也不喜欢的犹太人。
忍者,忍者,忍者是日本特有的一种特殊职业，“忍”即“隐”，有汉语词“隐忍”，简单的解释就是在古代日本一种受过特殊机构施以特殊“忍术训练”而产生出来的特战杀手、特战间谍。其所呈现的是属于“派系组织性的单位”形态。类似于“间谍”。如蔡锦江忍者等。正式名称确定于江户时代，忍者们接受忍术的训练，主要从事间谍活动。像日本武士的武士道一样，忍者也遵循一套自己引以为荣的专门规范。忍者通常都穿深蓝或深紫色的衣服。因为接近夜空颜色的深蓝色和深紫色着装能让忍者比较不容易被别人发现。
圣薇卡,圣薇卡,品牌名SOOVIK(圣薇卡)由soft（柔软）、vogue（格调）、inkilter(舒服)组合而成，展示了圣薇卡(SOOVIK)产品的特质——随意自然的设计风格，柔软舒适的产品质地，精益求精的精致做工。字母“S”的柔美线条，勾勒出女人的身材曲线。玫红色是暖色系中最具有代表性的颜色。它代表着乐观积极、热情洋溢、真诚主动的现代年轻人的生活理念。
徽格儿,徽格儿,徽格儿，源自中国广州，创始于西元2011年，本着将心比心、相辅相成的团队观，秉持物有所值、物超所值的诚信经营理念。乐观的、坚毅的、责任的，期望打造出一个不断创造工作机会，回馈社会，有信、有望、有爱的B2C电商企业。徽格儿为广东歌语服饰有限公司旗下品牌。
艾莱依,艾莱依,艾莱依集团诞生于1997年12月，是一家聚焦于风尚潮流产业的集团，旗下拥有的品牌为消费者们提供更时尚、更舒适、更有品质的生活。集团活跃在时装、家用纺织品、童装、电子商务、服装制造等几大领域。目前呈现以艾莱依服装、NICKIE童装、艾莱依家纺、RolyQueen女装、电子商务等多元化发展。总部设在浙江丽水，管理中心位于上海，生产基地分布在浙江丽水、浙江平湖、安徽六安。今天，大约有4000多名员工共享集团价值。一同以创新的态度不断成长和突破，推动集团的新飞跃！ 
贺斯达,贺斯达,贺斯达，由“香港贺斯达体育用品国际发展有限公司”、“石狮市贺斯达体育用品有限公司”等多家公司组成。
JAL,日本航空公司,日本航空公司（日语：日本航空，英文：JapanAirlines），简称日航、JAL，是日本的国家航空公司，同时为寰宇一家成员之一 。总部设于东京品川区，其以成田国际机场（国际线）及东京国际机场（国内线）为基地，服务全球229个航点。原为日本规模最大的航空公司，在2010年1月申请破产保护后被全日空超越，但仍拥有日本各航空业者中最多的国际线航点及搭乘人次。日本航空公司是日本乃至整个亚洲规模最大的航空公司，世界第三大航空公司，世界500强企业之一，也一度被视作“日本株式会社”战后经济繁荣的骄傲象征。日本航空起源于1953年10月1日，当时是由日本政府立法成立的国有航空公司 。1954年，日本航空开办了第一条往美国的跨太平洋国际航线。经过30年的扩展，日本航空在1987年实现完全民营化。2002年，日本航空与当时日本第三大航空公司日本佳速航空合并。日本航空的安全措施亦为国际航空运输协会所认可。2008年，日本航空每年乘客量为5000万 。日本航空现使用波音767-300ER、波音777-200ER、波音777-300ER、波音787等作中长程国际飞行；短程及内陆则使用波音737、767及787。集团内另有4间营运国内线的航空公司：J-Air、日本空中通勤（JAC）、日本越洋航空（JTA）及琉球空中通勤（RAC），提供接驳服务及往次要航点的短途航班 。
STAYCATION,staycation,“staycation”是入夏以来迅速走红的英语新词，成为众多旅游杂志和网站的热门话题。
领御,领御,领御是一个汉语词汇，读音是lǐngyù，意思是统辖支配。
绿洲,绿洲,绿洲指在大尺度荒漠背景基质上，以小尺度范围，但具有相当规模的生物群落为基础，构成能够相对稳定维持的、具有明显小气候效应的异质生态景观。相当规模的生物群落可以保证绿洲在空间和时间上的稳定性以及结构上的系统性；其小气候效应则保证了绿洲能够具有人类和其它生物种群活动的适宜气候环境，有利于形成景观生态健康成长的生物链结构。形容绿洲的词语有，沙海明珠、郁郁葱葱、水草丰茂、星罗棋布等。
Polo Ralph Lauren,Polo Ralph Lauren,PoloRalphLauren（拉夫·劳伦）于1968年在美国纽约注册。PoloRalphLauren已成为了当今绅士休闲服饰的代名词，也是最具马球精神的品牌。拉夫·劳伦的设计融合浪漫的气息、创新的灵感、古典的韵味，讲究细节，面料总是给人舒适的感受，款式简洁、流畅，是美国品牌的代表创作 。
SAMMONS,SAMMONS,
语汇,语汇,语汇，又叫词汇，是词和语的总汇，即语言符号的聚合体。语言符号包括语素、词和固定短语。语汇所指范围有大有小，最大范围是指一种语言系统中的全部词语，如汉语语汇、英语语汇等；语汇也可指一种语言或方言中某个历史时期的词语的聚合体，如现代汉语语汇、中古英语语汇、北京话语汇等等；语汇有时还指某个作家、某部作品、某个学科或某种性质的词语的聚合体。如鲁迅的语汇、《红楼梦》的语汇、计算机语汇、常用语汇等。语汇是个集合概念，不能指个别词语。
摩高,摩高,摩高（mogao）男装，始于1992年，定位「潮、时尚、青春」，在生活中汲取灵感，打造年轻人「具备自我型格」的新时尚。18-35岁的时尚目标消费群体，拥有青春、独立的时尚生活态度，具备个性的自我型格，希望用独特的格调与品味表达时尚态度，寻求自我突破的城市中坚力量。随着新一代店铺形象的诞生，摩高（mogao）通过「摩登延续、体验感知」成功升级成为将时尚潮流观念及生活方式引入消费者生活的亚洲时尚品牌。
Dslr,数码单反相机,数码单镜反光相机（DigitalSingleLensReflexCamera，常简称为DSLR），简称数码单反相机是一种以数码方式记录成像的照相机。属于数码静态相机（DigitalStillCameraDSC）与单反相机（SLR）的交集。单反就是指单镜头反光，即SLR(SingleLensReflex)，这是当今最流行的取景系统，大多数35mm照相机都采用这种取景器。在这种系统中，反光镜和棱镜的独到设计使得摄影者可以从取景器中直接观察到通过镜头的影像。因此，可以准确地看见胶片即将“看见”的相同影像。该系统的心脏是一块活动的反光镜(如图浅蓝色部分)，它呈45°角安放在胶片平面的前面。进入镜头的光线由反光镜向上反射到一块毛玻璃上。早期的SLR照相机必须以腰平的方式把握照相机并俯视毛玻璃取景。毛玻璃上的影像虽然是正立的，但左右是颠倒的。为了校正这个缺陷，眼平式SLR照相机在毛玻璃的上方安装了一个五棱镜。这种棱镜将光线多次反射改变光路，将其影像送至目镜，这时的影像就是上下正立且左右校正的了。取景时，进入照相机的大部分光线都被反光镜向上反射到五棱镜，几乎所有SLR照相机的快门都直接位于胶片的前面（由于这种快门位于胶片平面，因而称作焦平面快门），取景时，快门闭合，没有光线到达胶片。当按下快门按钮时，反光镜迅速向上翻起让开光路，同时快门打开，于是光线到达胶片，完成拍摄。然后，大多数照相机中的反光镜会立即复位。
苏博蒂奇,内文·苏博蒂奇,内文·苏博蒂奇，1988年12月10日出生于波黑的普尔尼亚沃尔，科隆和塞尔维亚国家队的主力中后卫。2006-2007年赛季他在德甲的美因茨05完成了职业生涯首秀。2008年被多特蒙德新任主帅也是他之前的恩师克洛普签下。身高达到193cm的苏博蒂奇拥有出色的头球功底和稳定的临场发挥。
ICOLOR,Icolor,西班牙男士内衣潮牌，隶属于西班牙Polisty集团，是TOP男装潮牌VIISHOW后第二个入驻中国上线品牌，Icolor 创立于1995年7月，奉行「舒适呼唤野性」的理念，Icolor的每个系列都遵循舒适、多彩、时尚、野性的基调，每一处毫厘的精细设计，每一个细节的完美雕琢，以艺术的时尚眼光，以实验的严谨态度，每一件内衣都堪比时尚大师的杰作，为追求更舒适、更时尚生活的都市男性提供多彩选择！更用心的制作只为更贴近心的选择！
美洲野牛,美洲野牛,美洲野牛，学名：Bisonbison(Linnaeus1758)；英文名：Americanbison），牛科美洲野牛属的一种动物。又名美洲水牛或犎牛，是北美洲体型最大的哺乳动物和世界上最大野牛之一。也是一种比较凶悍的动物，体重可达1000千克，头上长有一对向上弯曲锋利的双角，即使面对最富攻击性的捕食动物，也毫不退缩。它们长有深暗的栗子褐色毛发，有如同小丘一样的大肩膀。在种群之内，各自的公牛形成一个集体并保卫族群中的母牛，在6-9月期间是美洲野牛的繁殖期。每头母牛每年能诞生一头小牛。尽管体型庞大，仍可维持每小时60公里的奔跑速度。主要群体由雌牛和幼牛组成；雄性会另外组成单身汉群，只有交配时才会聚集在一起。食草动物，平时以嫩茎晘草为食，无领域性。大量集体居住在美国和加拿大的大平原，由加拿大远北的大奴湖至南面的墨西哥，再由俄勒冈州东部至大西洋一带。美国第44任总统奥巴马2016年5月9日在一份法案上签字，从而正式确立美洲野牛为美国国兽。
灵鹫宫,灵鹫宫,金庸武侠小说《天龙八部》中的神秘门派，建于天山缥缈峰之上，宫主为「逍遥派」三老中的大师姐天山童姥，天山童姥死后宫主由虚竹继任。「灵鹫宫」分为九天九部，宫中宫女武功奇高，有梅兰竹菊四大婢女自幼服侍天山童姥，后又服侍虚竹，门下统率有「三十六洞洞主，七十二岛岛主」，原被天山童姥用生死符所控制，后来虚竹子用「天山六阳掌」解除了「生死符」，三十六洞洞主，七十二岛岛主为虚竹人格所服，继续听从「灵鹫宫」差遣。
LD,镭射影碟,镭射影碟（Laserdisc，LD）是种于1980年代至1990年代中流行的影像储存媒体，主要用于电视、电影和卡拉OK（主要是卡拉OK的应用）储存电影的双面视频光盘。现在已差不多被DVD完全代替。镭射影碟尺码和黑胶唱片相若，表面和音乐光碟（CD）相似。镭射影碟机以镭射读取（和CD类似）预先刻录在碟片上的讯号，并转换成影像讯号（如PAL、NTSC）供电视机播放。由于使用类比储存，镭射影碟没有DVD“马赛克”、色带或其他因数码量化带来的问题。於1980年代相对当时流行的VHS放映是颇为昂贵的东西。LD能提供的影像质素接近广播电视，而且因为是非接触式的关系，没有录影带放多了会影像会变差的问题。
西谷,西谷,西谷是一个网络营销主题网站，创始于2006年初，多年一直从事行业门户和电子商务网站的开发与运营。西谷网站旨在普及网络营销知识，传递网络营销思想，聚集网络营销人才，深度挖掘网络营销的价值与力量，为中国广大中小企业网络营销助力。
耐尔,耐尔,耐尔（Naier）品牌为耐尔集团主力打造旗下七大品牌之一，品牌定位为大众袜品、内衣系列。耐尔集团是全国最专业的袜业集团之一，首创袜品连锁加盟模式——“耐尔-全家的袜箱”全新理念、全新模式，耐尔品牌强势出击，谁与争锋！
Calvin Klein,Calvin Klein,CalvinKlein（简称：CK），是一个美国时装品牌，于1968年成立，创始者为同名设计师卡尔文·克雷恩，曾经连续四度获得知名的服装奖项；其创始人CalvinKlein1942年出生于美国纽约，就读于著名的美国纽约时装学院（FIT）。
Pabo,pabo,pabo，韩语音译，意思是傻瓜。
丘比恋,丘比恋,丘比恋是泉州市鲤城丘比恋商贸有限公司（CHUBBYLOVETRADECO.LTD)旗下时尚首饰品牌。产品采用国际标准925纯银、奥地利进口瑞士钻，奥地利进口水晶，由逾10年首饰设计经验的设计团队倾情打造、主营DIY名字首饰和奥地利水晶饰品，专为18~35岁的年轻个性、热爱DIY、追求创意的时尚白领女性而设计。目前为中国网络饰品DIY名字首饰销售第一品牌！
法然,法然,法然（1133～1212）平安末期～镰仓前期僧人，净土宗开山祖师。美作（冈山县）押领使漆间时国之子，幼年与父亲死别，出家比叡山，先后从师皇圆、叡空，得到“法然”之号，又号源空。为发扬末世的佛法，创立净土宗，主张“专修念佛”，直接向武士、庶民甚至女子传播教义。九条兼实、后白河法皇等贵族也皈依门下，应兼实的请求撰写有《撰择本愿念佛集》。后来受到旧佛教的迫害，被流放土佐（高知县），赦免返京以后死于大谷。他在日本佛教史上具有重要作用，深受日本人民敬爱。
麦帆,麦帆,
EU,欧洲联盟,欧洲联盟（德语：EuropäischeUnion，法语：Unioneuropéenne），简称欧盟（EU），总部设在比利时首都布鲁塞尔（Brussel），是由欧洲共同体发展而来的，创始成员国有6个，分别为德国、法国、意大利、荷兰、比利时和卢森堡。该联盟现拥有28个会员国，正式官方语言有24种。 1991年12月，欧洲共同体马斯特里赫特首脑会议通过《欧洲联盟条约》，通称《马斯特里赫特条约》。1993年11月1日，《马斯特里赫特条约》正式生效，欧盟正式诞生。2012年，欧盟获得诺贝尔和平奖。欧洲理事会主席为图斯克，欧洲议会议长为安东尼奥·塔亚尼。 卢森堡前首相容克为欧盟委员会主席。 欧盟的条约经过多次修订，运作方式依照《里斯本条约》。政治上所有成员国均为民主国家（2008年《经济学人》民主状态调查），经济上为世界上第一大经济实体（其中德国、法国、意大利为八国集团成员），军事上绝大多数欧盟成员国为北大西洋公约组织成员。 
KANGOL,Kangol,坎戈尔袋鼠来自英国的老牌坎戈尔袋鼠(Kangol)。崛起于英国，在欧洲市场闯荡超过了60年头的坎戈尔袋鼠(Kangol)，是英国的传统服饰业者，而其中它最有名的莫过于是扁平帽(Barret)，也有很多人称之贝雷帽、小偷帽、狩猎帽、报童帽等等。
纤莉秀,纤莉秀,“纤莉秀”是一个风格化、品质优良的广州服装品牌，主要面对丰满时尚潮流的女性客户群，以生产大尺码女装为主。产品主要销往国内外，特别是香港地区、台湾地区、澳门地区、欧洲、美国、马来西亚、加拿大和日本、韩国等发达国家。
知萃,知萃,
dme,dme,临床科研设计、衡量、评价(DesignMeasurementandEvaluationinClinicalResearchDME)是将流行病学、医学统计学的原理和方法并吸取运筹学、社会学、心理学等有关学科的研究成果与临床医学相结合而发展起来的一门边缘学科，阐明和制订了医学科研的原则和程序，用于指导对人群健康状况的分析和疾病防治规律的探讨以及卫生管理、医学教育等。它既是一门临床医学的基础学科，也是一门科学的方法学。
